,description,eye_color,hair_color,sex
94,A middle-aged bald man with big eyes and thin lips. He has got a thick stubble beard around his lips and along his jawline. He looks serious,,,
95,"A young man with dark eyes, a small nose, big ears and thin lips",,,
96,"A profile of a woman with thin lips, green eyes, high cheekbones and pulled-back brown hair. She is wearing long earrings and makeup.",,,
97,"An elderly woman with a pale complexion, wrinkled skin and shiny amber hair. She has a fringe, raised eyebrows, sparkly light-coloured eyes, a round nose, full lips and plump cheeks. She is wearing large hoop earrings.",,,
98,"A man with radiant skin, a receding hairline and short brown hair. He has hooded eyes, a big nose, plump cheeks, thin lips, a shaven stubble and a well-defined jawline.",,,
99,"A blonde woman with a small face, a large mouth, thin lips and a short button nose. She has green eyes and is wearing makeup.",,,
100,"A woman with a pale complexion, clear skin and pulled-back blonde hair. She has a side fringe, neatly-shaped eyebrows, green eyes, a small nose, high cheek-bones, full lips and a clearly-shaped jawline.",,,
101,A grinning white woman with long blonde hair and green eyes,,,
102,"A middle-aged woman with a large mouth, small, green eyes and and with high cheekbones. She has blonde hair and is smiling.",,,
103,"A man with short, spiky, light-brown hair and a weak chin. He has a trimmed beard and an open mouth.",,,
104,A young man with scruffy hair and beard singing into a microphone and holding a guitar,,,
105,"A man with light-coloured eyes, a long thin nose and a small mouth. He has ginger hair and has a fringe covering all of his forehead.",,,
106,"A dark-skinned man with large nostrils, thin lips, sparkly black eyes and a shaved goatee. He is bald and is smiling.",,,
107,A dark skinned man with black hair and eyes. He has very thin lips and a double chin.,,,
108,A middl-egaed man with short dark hair and small dark eyes. His lips are very thin and his upper teeth and tongue are visible. He is smiling. He has got a double chin,,,
109,"A laughing brown man with black hair, brown eyes and a large nise",,,
110,"A tanned man with short, black hair, a beard, a prominent nose and a pair of glasses.",,,
111,A man with black hair and beard wearing red spectacles,,,
112,"A woman with long, ginger hair wearing a lot of eye make-up",,,
113,"A woman with thin eyebrows, thick lips, a tanned, glowing complexion and long, black hair.  She is wearing small earrings.",,,
114,"An olive-skinned woman with a small dainty face, smooth skin and long jet-black hair. She has arched eyebrows, dark brown almond-shaped eyes, a button nose, full cheeks, thick lips and a chiselled jawline. She is wearing dangling earrings.",,,
115,"A woman with a large plump face, messy blonde hair, a fringe and a fair complexion. She has thin eyebrows, slit eyes, a slim nose, droopy cheeks, thin lips and a thick neck. She has a mic in front of her open mouth.",,,
116,"this woman has blonde hair, this eyebroes and she is squinting her eyes, her nose is pointed and her lips are red",,,
117,"A man with a pale complexion, a clean-shaven face, smooth skin and short brown hair. He has thick brown eyebrows, brown eyes, nags under his eyes, a thin upper lip and a smile on his face.",,,
118,"this is a dark-skinned man with black hair, arched eyebrows and small brown eyes. his nose and lips are full and he is wearing a striped blue shirt",,,
119,"A woman with dark brown wavy hair, brown eyebrows, grey-coloured eyes, a slender nose and plump lips.",,,
120,"A white male with large nostrils, a well-defined chin and large cheeks. He is wearing a hat.",,,
121,"An Asian man with a round face, thin lips, large nostrils and short, black hair. He has wrinkles around his eyes.",,,
122,"A tanned older man with short, receding, greying hair, a big nose and large ears. He is smiling and has a wrinkly face.",,,
123,"An elderly man with grey, short hair wearing a white blazer",,,
124,"A woman with a long nose, large, green eyes and high cheekbones. He is wearing eyeliner and lipstick.",,,
125,"this young woman has long brown hair, thin round eyebrows and small brown eyes, her nose is small and pointed and her lips are red",,,
126,"A man with long hair, dark eyes, a straight nose and thin lips wearing a black hat",,,
127,"A woman with a pale skin, large eyes and brown hair. She is wearing makeup and diamond earrings.",,,
128,A young man with long braided hair. His skin tone is rather dark and his eyebrows are thick. His eyes are brown and they are small. His nose is straight and wide. His lips are really thick and big and his teeth can be seen from the gap between his lips. The man has got a thin beard. His neck is tattooed.,,,
129,"A young man with short hair, dark eyes, a big nose, big lips and tattoos",,,
130,"A woman with an oblong face, small eyes and thin lips. She has pulled-back chestnut hair and a glowing pale complexion.",,,
131,"A man with a long nose, a tanned, glowing complexion and dark hair. He has covering half of his face with his right hand.",,,
132,"An angry looking white woman with long wet wavy hair, brown eyes, black eye makeup and thick lips",,,
133,"A pale woman with braided brown hair, thin eyebrows, grey eyes, a petite nose and plump lips.",,,
134,"An Asian man with small deep eyes, a small mouth and an elongated face. He has a tanned complexion and is clean-shaven.",,,
135,"A pale man with short, black hair, light eyes, thin eyebrows, a large nose, a trimmed beard and a wide smile.",,,
136,A man with short brown hair. His eyebrows are rather thin. His eyes are light-coloured. His lips are thin and they are parted as he is smiling with his teeth. His upper teeth are visible. A beard is growing on his upper lip and along his jaw.,,,
137,A smiling man with short hair and a beard,,,
138,"this man has long blonde hair, arched eyebrows and flared nostrils. his lips are open.",,,
139,"An Asian young man with a squarish face. He has short black hair and bushy eyebrows, with a wide nose and a slight grin.",,,
140,"A young man with short hair, dark eyes, a small nose, small ears and thin lips",,,
141,"A middle-aged white man with a short, upturned nose, a small mouth, thin lips and a goatee. He is balding and has some wrinkles around his eyes and on his forehead.",,,
142,"A sun-tanned man with short brown hair and eyebrows, brown-coloured eyes, a slender nose and thin lips.",,,
143,"A man with an elongated face, a button nose, a small mouth, thin lips and thick bushy eyebrows. He has styled, black hair and is clean-shaven. He has sideburns.",,,
144,"A woman with voluminous curly brown hair, wearing a lot of makeup and having green eyes, thick closed lips and a tanned skin complexion.",,,
145,"A serious looking Latina with long curly brown hair, hazel eyes and thick lips",,,
146,A young woman with orange hair and big blue eyes. There is dark make-up around her eyes. Her nose is small and her lips are thin. Her upper teeth are visible as she is smilnig,,,
147,A smiling pale white woman with long wavy ginger hair and blue eyes,,,
148,"A woman with neatly tied back, straight, blond hair, reddish skin, thin eyebrows, a small nose and an open mouth.",,,
149,"A tired looking woman with blonde hair, reddened face, squinting eyes, and an open mouth as if breathing heavily.",,,
150,"A focused white woman with pulled back bleach-blonde hair, green eyes and a redish face",,,
151,A young girl with brown hair dyed blonde near the edges. She is wearing a silver tiara. Her eyes are dark-coloured and there is dark make-up around them. Her lips are thin and her upper teeth are visible. She is smiling,,,
152,A smiling white woman with long dirty-blonde hair and brown eyes,,,
153,"A bald man with a defined jawline, slit-eyes and no eyebrows. His face is pale and he is smiling.",,,
154,"A woman with straight, long blonde hair, thin lips and high cheekbones. He has a smooth complexion and is wearing makeup.",,,
155,"she  has long blonde hair, straight hair, small dark blue eyes, her lips are full and her nose is pointed",,,
156,"A woman with a long face, full cheeks narrow eyes and a smile. Her hair curly, brown hair reaches her shoulders and she has thick eyebrows.",,,
157,A young girl with brown curly hair. She has got an oblong face. Her eyebrows are brown and thin and her eyes are brown. She is looking downwards to the side. Her lips are curved into a smile.,,,
158,"A white woman with ling curly brown hair, red lips and brown eyes",,,
159,"A young woman with dark hair, blue eyes and a small nose wearing red lipstick",,,
160,"A woman with short, grey hair, full lips and thin eyebrows. She has a thin nose and is wearing makeup and dangly earrings.",,,
161,An old woman with short grey hair and small blue eyes with some black make-up around them. Her lips are painted red. The woman has got a mysterious look on her face. She is wearing a pair of earrings,,,
162,"A pale white aging woman with short greying-black hair, blue eyes and red lips",,,
163,"A man with a tanned glowing complexion, thin lips, a short upturned nose and black hair. He is clean-shaven and is smiling.",,,
164,"A woman with light-brown, tied-back hair, a wide nose and full cheeks. She is smiling and has soft features.",,,
165,"A smiling white woman with pulled back brown hair, brown eyes and a redish face",,,
166,"A sun-tanned man with curly dark brown hair and eyebrows, brown eyes, a slender nose, and plump lips.",,,
167,"A young man with short light-brunette hair, a moustache and a goatee. He has blue-green eyes and is smiling slightly.",,,
168,A young man with short brown hair and blue eyes. His nose is small and his lips are thin. He has got a moustache and a beard on his chin,,,
169,"A young man with blonde hair, blue eyes, a small nose and thin lips",,,
170,An Indian woman with brown hair pulled back. Her roots are a darker shade of brown. Her eye are dark-coloured and there is some make-up around them. Her lips are round. She is wearing a bindi,,,
171,"A young woman with short hair, dark eyes, a small nose, big ears and thin lips",,,
172,A young Chinese-looking guy with short brown hair and small dark eyes. His nose is small and his lips are thin. His mouth is open and he seems to be staring up at something,,,
173,"A young man with short hair, dark eyes, a small nose, small ears and thin lips",,,
174,A man with thin lips and a short nose. He is wearing a helmet and glasses.,,,
175,"An Asian person with a slim face and thick amber short hair covering all of the person's forehead. This person has smooth skin, a pale complexion, dark-coloured slit eyes, large nostrils and a small mouth.",,,
176,"An olive-skinned woman with an oval-shaped face and straight chestnut hair with a side-parting. She has a large forehead, thin eyebrows, large dark-coloured eyes, a round nose, plump cheeks and a thin upper lip. She is wearing make-up and is smiling.",,,
177,"A middle-aged man with a long face, very thin lips, large cheeks and ginger hair.",,,
178,"White woman with mousy brown, wavy hair that is parted in the middle. She is smiling, with her eyebrows nicely groomed and she is wearing makeup.",,,
179,"An olive-skinned woman with brown hair, pointed eyebrows, light brown eyes, a pointed nose and plump lips.",,,
180,"An Asian woman with dark brown hair, a fringe, thin eyebrows, a small nose and thin lips.",,,
181,"A pale woman with a round face, a small nose and high cheekbones which are accentuated by her makeup. She has long, straight blond hair and sculpted eyebrows.",,,
182,"A pale skinned woman with shoulder length blonde hair, small nose and a slight underbite.",,,
183,"A focused pale white woman with long blonde hair, brown eyes and a small nose",,,
184,"A woman with small, green eyes, a big mouth, a long face and a big chin. She has blonde hair and is smiling.",,,
185,"A man with a defined jawline, shaved black hair and green eyes. He has a serious look.",,,
186,"An older man with short, brown hair and a fringe. He has bushy eyebrows, light eyes, thin lips, a strong jaw with stubble and a slightly droopy face.",,,
187,"A man with short hair, blue eyes, a small nose and thin lips",,,
188,"this woman has long black hair, defined eyebrows and small eyes and her nose is long and pointed and her lips are full",,,
189,"An Asian person with black cornrows, a flat nose, small ears and a round face with a wide, dimpled smile.",,,
190,A young Korean-looking woman with braided hair pulled back. Her eyes are almost closed and her lips are thin. Her teeth are visible. The woman has got a big smile and she seems very happy,,,
191,A young man with braided hair who seems to be very happy,,,
192,"A pale woman with slightly reddish skin, long, light-brown hair, sculpted eyebrows and a cleft chin. She is wearing makeup and has a large, toothy smile.",,,
193,"A young woman with blonde hair, blue eyes, a small nose, a big smile and thin lips",,,
194,"A woman with green eyes, a large mouth, pristine white teeth and long wavy blonde hair. She has a glowing complexion and is wearing makeup.",,,
195,"A woman with a tanned skin tone, long brown wavy hair, dark eyes and narrow lips.",,,
196,"A young woman with dark hair, dark eyes, small nose and thin lips",,,
197,"A man with short, wavy brown hair and a strong jaw.",,,
198,"A male face with sharp bone structure, short wavy hair, thin lips and close set eyes.",,,
199,A serious looking white man with blue eyes and short  scruffy brown hair,,,
200,"this girl has black hair, thin eyebrows. She is wearing square-shaped glasses, her nose is pointed and her lips or thin and she has silver hoop earrings",,,
201,"Old man with balding, light grey hair whose head is turned towards his right. He is smiling, showing his teeth, whilst crossing his hands.",,,
202,"A woman with long, wavy, brunette hair, thick eyebrows and light eyes. She has thin lips, high cheekbones and she is wearing a circlet.",,,
203,A young girl with long wavy brown hair and blue eyes. There is some black make-up around her eyes. Her face looks serious. Her lips are thin. She is wearing a band.,,,
204,"A serious looking white woman with long brown hair,hazel eyes",,,
205,"A woman with a long narrow nose, a tanned complexion thick lips and large brown eyes. She is wearing earrings, makeup and is smiling.",,,
206,"A serious looking white man with short brown hair, brown eyes and a long narrow nose",,,
207,"A woman with black long hair, thin eyebrows, big black eyes, a big nose and plump lips.",,,
208,"A brunette with thin eyebrows, grey eyes, a slender nose and plump lips.",,,
209,"this older man has short white hair, bushy eyebrows and small almond shaped eyes. his nose is pointed and his lips are thin",,,
210,"A dark-skinned man with a round face, a monobrow, thin lips and a trimmed goatee. He has a shaven head and a small nose.",,,
211,"Does dark skin man has little to no hair his eyebrows are straight and brown, he has small brown eyes and a flare nose, he has a beard and big full lips",,,
212,A smiling tanned white man with short brown hair and brown eye,,,
213,"A brown-haired man with thin eyebrows, dark brown eyes, a big nose and thin lips.",,,
214,"A woman with large green eyes, a thin nose, thick lips and a smooth complexion. She has long, wavy blonde hair and is smiling.",,,
215,A ginger man with a full beard and blue eyes. He has ginger hair.,,,
216,"A focused white man with wavy brown hair, blue eyes and a ginger beard",,,
217,"A woman with a heart-shaped, long straight caramel hair, green eyes and a small nose.",,,
218,A young woman with light-brown hair and dark eyes. Her lips are thin and she is smiling. Her make-up looks natural,,,
219,"A woman with long, ginger hair",,,
220,"A middle-aged woman with thin lips, deep black eyes, a thin nose, and thick brown hair. She is wearing makeup and long earrings.",,,
221,"This is an older woman with curly brown hair, arched eyebrows and purple make up on her eyes. She has a long nose and glossy lips. She also is wearing gold earrings",,,
222,"An Asian woman with a porcelain complexion, pulled-back dark brown hair and clear skin. She has a slim face, neatly-shaped eyebrows, brown mono-lid eyes, a long nose, high cheek-bones and glossy lips.",,,
223,"A young man with short brown hair gelled up, bushy eyebrows and small eyes. He has got a stubble beard and he is looking serious.",,,
224,"A focused white man with spikey brown hair, brown eyes and a light stubble",,,
225,A woman with brown hair which is covered with a green veil. SHe has very full lips.,,,
226,A young woman with brown hair. She is wearing a scarf on top of her head. Her eyes are dark-coloured and almost closed. Her lips are somewhat thick and they are painted pink. Her upper teeth are visible,,,
227,"A young woman with short hair, dark eyes, a small nose and thin lips wearing a blue bandana",,,
228,"An Asian woman with small black eyes, thin lips, white teeth and long, straight brown hair. She has a tanned complexion and is smiling. She has dimples.",,,
229,"A man with a tanned skin, thin lips, a defined jawline and a trimmed moustache. He has jet-black hair and has sideburns.",,,
230,"A woman with a long nose, large, green eyes and a large mouth. She has long, wavy, brown hair. She is wearing eyeliner and lip gloss. She is smiling and is wearing long earrings.",,,
231,"A Pakistani man with curly brown hair, bushy eyebrows, black eyes, a big nose and thin lips.",,,
232,"A tanned woman with long, wavy blond hair, thin, sculpted eyebrows and some makeup. She has a pointed nose, prominent cheeks and a pearly-white smile.",,,
233,A young blonde woman with blue eyes and dark make-up around them. Her skin tone seems somewhat tanned. Her lips are thin and her upper teeth are visible. She is smiling,,,
234,"A smiling white woman with long blonde hair, green eyes",,,
235,A woman with long blonde hair and bangs put to the side of her forehead. She has big eyes and full lips and is wearing makeup.,,,
236,"A smiling white woman with long blonde hair, brown eyes and red lips",,,
237,"A side-profile of a woman with straight auburn hair, thin eyebrows, slit eyes, a small nose, high cheek bones and small lips. She is olive-skinned and has smooth skin.",,,
238,"A smiling woman with long blonde hair, blue eyes",,,
239,A pale young woman with clear blue eyes and light makeup. She has wavy brunette hair and is wearing a large sunhat.,,,
240,"A smiling white woman with long wavy brown hair, blue eyes and a long nose",,,
241,"A woman with long, wavy, brunette hair, thick eyebrows, a round face and a wide smile. She is wearing makeup.",,,
242,A smiling white woman with wavy linf brown hair,,,
243,A young woman with dark hair and a fringe. Her eyes are dark-coloured and small and narrow. Her lips are thin and her upper teeth are visible as she is smiling,,,
244,A smiling white woman with long black hair,,,
245,"An Asian woman with a small nose, prominent cheeks and long, straight, black hair.",,,
246,"A woman with long hair, dark eyes, small nose and thin lips",,,
247,"A woman with small eyes, a small, short nose and a large forehead. She is smiling and is wearing hoop earrings.",,,
248,A young woman with brunette hair and sculpted eyebrows. She has full lips and is wearing light makeup.,,,
249,A young lady with brown hair and small dark eyes looking to the side. There is some make-up around her eyes. Her lips are thin and they are painted red. Her upper teeth are visible. She is smiling. She is holding lipstick.,,,
250,"A smiling white woman with long brown hair, brown eyes and rosy cheeks",,,
251,"this woman has long brown hair straight eyebrows and brown eyes, her nose is small and pointed and her lips are thin",,,
252,"An Asian man with messy, black hair, a strong jaw and thick, bushy eyebrows.",,,
253,A young Korean-looking boy with dark messy hair and small dark-coloured eyes. His nose is small and his lips are thin.,,,
254,"A serious looking Asian man with shaggy black hair, brown eyes",,,
255,"A man with short, dark-brown, receding hair, small ears, a pointed nose, an open mouth and slightly droopy facial features.",,,
256,A middle-aged man with short brown hair and big eyes. His lips are thin and hints of a stubble beard can be seen on his upper lip.,,,
257,A shocked man with short hair,,,
258,"A young woman with small eyes, small ears, thin lips, a button nose, thin eyebrows and brunette hair.",,,
259,"A woman with a pale glowing complexion, large eyes and full lips. She has a defined jawline and long, straight ginger hair. She is wearing long earrings and makeup.",,,
260,"she has ginger hair, thin eyebrows and big brown eyes. her nose is long and her lips are pink",,,
261,"A man with a large, square-face shape, large ears and light-coloured eyes.",,,
262,"A man with long hair. He has got thin eyebrows, small eyes and a small nose. His lips are parted as he is singing. There is a beard along his jawline and on his upper lip.",,,
263,"A man with long hair, a small nose and thin lips talking into a microphone",,,
264,"A pale woman with an oblong face and wispy chestnut hair. She has a large forehead, thin eyebrows, green eyes and a large mouth. She is wearing glasses and is smiling.",,,
265,"this is an older woman with brown hair, rounded eyebrows and clear square glasses. her nose is flared and she is smiling",,,
266,"A fair man with shiny skin, light brown spiky hair and a clean-shaven rectangular face. He has a large forehead, thick eyebrows, green slit eyes, a straight nose, high cheek-bones and thin lips.",,,
267,"A smiling woman with narrow eyes, arched eyebrows and light makeup. She has shoulder-length, wavy, light-brown hair with dark roots.",,,
268,"A smiling white woman with long blonde hair, brown eyes",,,
269,A dark-skinned man with a pencil moustache and a long goatee. He is wearing a brown hat.,,,
270,A young dark-skinned man wearing a brown hat. His eyes are dark and small and his lips are very thick. A thin moustache can be seen on his upper lip. A thick beard can be seen on his chin,,,
271,A serious looking black man with short black hair brown eyes and a black goatee,,,
272,A young bald dark-skinned man with big dark eyes and a wide nose. His lips are thick and his mouth is open. He seems to be talking,,,
273,A focused bald black man with brown eyes and a long nose,,,
274,"A man with blue eyes, a wide nose and full lips. He has short, brown hair and slight stubble.",,,
275,"A young man with short dark-coloured hair and lighter-coloured highlights. His eyebrows are brown. He is looking to his side and his eyes are blue. His nose is somewhat wide and his lips are thin, yet he has got a heavy lower lip. A stubble beard is growing on his face.",,,
276,"A young man with short hair, blue eyes, a small nose and thin lips",,,
277,"This woman has long brown hair with blonde highlights, she has makeup on her eyelids and fake eyelashes she has a slim pointed nose and gloss on her lips",,,
278,"A young man with wavy hair, dark eyes, a small nose and thin lips",,,
279,"A boy with very long straight brown hair, dark blue eyes and very full lips.",,,
280,A young boy with long brown hair and small blue eyes. His nose is small and he has got a heavy lower lip. He has got a well-defined jawline,,,
281,"A grinning white man with long brown hair, hazel eyes and thick lips",,,
282,"A woman wih a strong jaw, hollow cheeks, a small nose and medium-length, brunette hair. She is wearing lipstick and she has thin eyebrows.",,,
